threshold,learning_rate,descent,mean_accuracy,std_accuracy
0.4,0.001,stochastic,94.44,0.0
0.7,0.0001,stochastic,93.94,0.0
0.6,0.001,stochastic,93.94,0.0
0.3,0.01,stochastic,93.94,0.0
0.6,0.01,stochastic,93.94,0.0
0.5,0.001,stochastic,93.43,0.0
0.3,0.001,stochastic,92.93,0.0
0.3,0.0001,mini-batch,92.42,0.0
0.4,0.001,mini-batch,92.42,0.0
0.5,0.01,mini-batch,91.92,0.0
0.5,0.0001,stochastic,91.92,0.0
0.6,0.001,batch,91.92,0.0
0.5,0.01,stochastic,91.92,0.0
0.4,0.01,stochastic,91.92,0.0
0.7,0.01,mini-batch,91.92,0.0
0.7,0.01,stochastic,91.92,0.0
0.3,0.001,mini-batch,91.92,0.0
0.7,0.001,batch,91.41,0.0
0.7,0.01,batch,90.91,0.0
0.6,0.01,batch,90.91,0.0
0.6,0.0001,stochastic,90.91,0.0
0.3,0.01,batch,90.91,0.0
0.5,0.01,batch,90.91,0.0
0.3,0.001,batch,90.91,0.0
0.4,0.01,batch,90.4,0.0
0.3,0.0001,stochastic,90.4,0.0
0.6,0.001,mini-batch,89.9,0.0
0.4,0.0001,mini-batch,89.39,0.0
0.6,0.01,mini-batch,88.89,0.0
0.5,0.0001,batch,88.38,0.0
0.5,0.0001,mini-batch,88.38,0.0
0.4,0.0001,stochastic,87.88,0.0
0.4,0.0001,batch,87.88,0.0
0.7,0.0001,mini-batch,87.88,0.0
0.6,0.0001,mini-batch,87.88,0.0
0.3,0.01,mini-batch,87.37,0.0
0.5,0.001,mini-batch,87.37,0.0
0.4,0.01,mini-batch,87.37,0.0
0.4,0.001,batch,87.37,0.0
0.7,0.001,mini-batch,86.87,0.0
0.7,0.001,stochastic,86.87,0.0
0.6,0.0001,batch,86.36,0.0
0.3,0.0001,batch,85.35,0.0
0.5,0.001,batch,85.35,0.0
0.7,0.0001,batch,85.35,0.0
